timestamp,predicted_heart_rate
0.0,94.28776127573136
48.828125,94.23211415930177
97.65625,94.17646704287218
146.484375,94.12081992644259
195.3125,94.06517281001301
244.140625,94.00952569358343
292.96875,93.95387857715383
41.69921875,94.24023863830048
90.52734375,94.1845915218709
139.35546875,94.12894440544132
188.18359375,94.07329728901173
237.01171875,94.01765017258214
285.83984375,93.96200305615255
34.5703125,94.2483631172992
83.3984375,94.19271600086962
132.2265625,94.13706888444004
181.0546875,94.08142176801044
229.8828125,94.02577465158086
278.7109375,93.97012753515128
27.44140625,94.25648759629793
76.26953125,94.20084047986835
125.09765625,94.14519336343875
173.92578125,94.08954624700917
222.75390625,94.03389913057958
271.58203125,93.97825201414999
20.3125,94.26461207529665
69.140625,94.20896495886706
117.96875,94.15331784243747
166.796875,94.09767072600789
215.625,94.0420236095783
264.453125,93.98637649314871
13.18359375,94.27273655429536
62.01171875,94.21708943786578
110.83984375,94.1614423214362
159.66796875,94.1057952050066
208.49609375,94.05014808857702
257.32421875,93.99450097214743
6.0546875,94.28086103329409
54.8828125,94.2252139168645
103.7109375,94.16956680043491
152.5390625,94.11391968400532
201.3671875,94.05827256757574
250.1953125,94.00262545114616
299.0234375,93.94697833471656
47.75390625,94.23333839586321
96.58203125,94.17769127943363
145.41015625,94.12204416300405
194.23828125,94.06639704657447
243.06640625,94.01074993014487
291.89453125,93.95510281371529
40.625,94.24146287486194
89.453125,94.18581575843235
138.28125,94.13016864200277
187.109375,94.07452152557318
235.9375,94.01887440914359
284.765625,93.96322729271401
33.49609375,94.24958735386066
82.32421875,94.19394023743108
131.15234375,94.13829312100148
179.98046875,94.0826460045719
228.80859375,94.02699888814232
277.63671875,93.97135177171272
26.3671875,94.25771183285939
75.1953125,94.20206471642979
124.0234375,94.1464176000002
172.8515625,94.09077048357062
221.6796875,94.03512336714103
270.5078125,93.97947625071144
19.23828125,94.2658363118581
68.06640625,94.21018919542851
116.89453125,94.15454207899893
165.72265625,94.09889496256933
214.55078125,94.04324784613975
263.37890625,93.98760072971017
12.109375,94.27396079085682
60.9375,94.21831367442724
109.765625,94.16266655799764
158.59375,94.10701944156806
207.421875,94.05137232513847
256.25,93.99572520870889
